"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source"
"de Souza Barbosa A.; da Silva M.C.B.C.; da Silva L.B.; Morioka S.N.; de Souza V.F.","de Souza Barbosa, Anrafel (57223847585); da Silva, Maria Cristina Basilio Crispim (55142734000); da Silva, Luiz Bueno (35791534900); Morioka, Sandra Naomi (56175656000); de Souza, Vinícius Fernandes (57223871141)","57223847585; 55142734000; 35791534900; 56175656000; 57223871141","Integration of Environmental, Social, and Governance (ESG) criteria: their impacts on corporate sustainability performance","2023","Humanities and Social Sciences Communications","10","1","410","","","","58","10.1057/s41599-023-01919-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165281301&doi=10.1057%2fs41599-023-01919-0&partnerID=40&md5=b6d2a798c460a6ec6037b5a1046d07ef","Federal University of Paraíba, Paraíba, João Pessoa, Brazil; University of Brasília, Brasília, Brazil","de Souza Barbosa A., Federal University of Paraíba, Paraíba, João Pessoa, Brazil; da Silva M.C.B.C., Federal University of Paraíba, Paraíba, João Pessoa, Brazil; da Silva L.B., Federal University of Paraíba, Paraíba, João Pessoa, Brazil; Morioka S.N., Federal University of Paraíba, Paraíba, João Pessoa, Brazil; de Souza V.F., University of Brasília, Brasília, Brazil","In a corporate sustainability context, scholars have been studying internal and external relations provided by Environmental, Social, and Governance (ESG) criteria, mostly from the organizational perspective. Therefore, the main objective of this paper is to map and analyze the literature on the impacts of integrating ESG criteria on corporate sustainability performance from different points of view. The methodology used followed the Preferred Report Items for Systematic Reviews and Meta-analysis (PRISMA) guidelines, corroborated by a critical analysis. The results indicate that the integration of ESG criteria, observed from different perspectives, strengthens corporate sustainability performance. They also revealed narrowing gaps in the literature regarding methodological analysis. Most of the papers in the analyzed sample use company-level data and employ regression analysis in their analysis. The present study concludes that companies, regardless of nationality, follow the guidelines of ESG criteria integration and such procedure brings several benefits. It points to the lack of more confirmatory research approaches from a workers’ perspective, as the interest remains in the economic-environmental realm from the organizations’ point of view. The absence of such evidence points to a gap in the literature that suggests the need for new study initiatives. © 2023, The Author(s).","","","A. de Souza Barbosa; Federal University of Paraíba, João Pessoa, Paraíba, Brazil; email: anrafel.barbosa@ifpb.edu.br","English","Hum. Soc. Sci. Comm","Review","Final","All Open Access; Gold Open Access","Scopus"
"Kwilinski A.; Lyulyov O.; Pimonenko T.","Kwilinski, Aleksy (57204068618); Lyulyov, Oleksii (56809418500); Pimonenko, Tetyana (56274453800)","57204068618; 56809418500; 56274453800","THE ROLE OF COUNTRY'S GREEN BRAND AND DIGITALIZATION IN ENHANCING ENVIRONMENTAL, SOCIAL, AND GOVERNANCE PERFORMANCE; [ROLA ZIELONEJ MARKI KRAJU I CYFRYZACJI W ZWIĘKSZENIU EFEKTYWNOŚCI ŚRODOWISKOWEJ, SPOŁECZNEJ I ZARZĄDCZEJ]","2023","Economics and Environment","87","4","613","","","","10","10.34659/eis.2023.87.4.613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184261842&doi=10.34659%2feis.2023.87.4.613&partnerID=40&md5=3a27dbc217fb201211101d1e04aa3468","Department of Management, Faculty of Applied Sciences, WSB University, Poland; The London Academy of Science and Business, United Kingdom; Department of Marketing, Sumy State University, Ukraine","Kwilinski A., Department of Management, Faculty of Applied Sciences, WSB University, Poland, The London Academy of Science and Business, United Kingdom; Lyulyov O., Department of Management, Faculty of Applied Sciences, WSB University, Poland, Department of Marketing, Sumy State University, Ukraine; Pimonenko T., Department of Management, Faculty of Applied Sciences, WSB University, Poland, Department of Marketing, Sumy State University, Ukraine","In the contemporary global landscape, characterised by increasing concerns about climate change, sustainable development, and corporate responsibility, it is necessary to study and address pressing issues at the intersection of environmental consciousness, technological advancement, and governance practices. This paper aims to examine the relationship between the environmental, social, and governance (ESG) pillars of a country’s development, green brand and digitalisation. To achieve the study’s goal, partial least squares structural equation modelling (PLS-SEM) was applied. The object of investigation was EU countries for 2016-2020. The findings allow us to conclude that a country's green brand is conducive to ESG performance by attracting green investment in renewable energies, social projects, and innovations. The results confirm that governments should prioritise sustainability initiatives, such as investing in renewable energy, adopting sustainable practices, and implementing environmental and social policies. Such efforts can enhance a country's green brand and lead to positive ESG outcomes, attracting more responsible businesses and investors. Moreover, digitalisation promoted governance by 0.142. The results showed that digitalisation could be a powerful tool for improving a country's green brand and ESG performance. Digital technologies can help countries monitor and manage environmental resources, promote sustainable practices, and engage with stakeholders. © 2023, Wydawnictwo Ekonomia i Srodowisko. All rights reserved.","corporate social responsibility disclosure; development governance; environmental pollution; good governance; sustainable development","","A. Kwilinski; London, Baker Street 120, W1U 6TU, United Kingdom; email: a.kwilinski@london-asb.co.uk","English","Econ. Environ.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus"
"Barbosa A.D.S.; Crispim M.C.; da Silva L.B.; da Silva J.M.N.; Barbosa A.M.; Morioka S.N.","Barbosa, Anrafel de Souza (57223847585); Crispim, Maria Cristina (55142734000); da Silva, Luiz Bueno (35791534900); da Silva, Jonhatan Magno Norte (57219727013); Barbosa, Aglaucibelly Maciel (58808937300); Morioka, Sandra Naomi (56175656000)","57223847585; 55142734000; 35791534900; 57219727013; 58808937300; 56175656000","How can organizations measure the integration of environmental, social, and governance (ESG) criteria? Validation of an instrument using item response theory to capture workers' perception","2024","Business Strategy and the Environment","33","4","","3607","3634","27","7","10.1002/bse.3675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182180451&doi=10.1002%2fbse.3675&partnerID=40&md5=e1ade8b04a49b0731c658f11c882a034","Federal University of Paraíba, Cidade Universitária, João Pessoa, Brazil; Federal University of Alagoas, Cidade Universitária, Delmiro Gouveia, Brazil","Barbosa A.D.S., Federal University of Paraíba, Cidade Universitária, João Pessoa, Brazil; Crispim M.C., Federal University of Paraíba, Cidade Universitária, João Pessoa, Brazil; da Silva L.B., Federal University of Paraíba, Cidade Universitária, João Pessoa, Brazil; da Silva J.M.N., Federal University of Alagoas, Cidade Universitária, Delmiro Gouveia, Brazil; Barbosa A.M., Federal University of Paraíba, Cidade Universitária, João Pessoa, Brazil; Morioka S.N., Federal University of Paraíba, Cidade Universitária, João Pessoa, Brazil","Evaluation of corporate sustainability parameters has become part of organizational management. Item Response Theory (IRT) serves as a valuable approach for quantifying and exploring observable variables associated with these parameters. Therefore, this article aims to propose, apply, and validate an instrument utilizing IRT to measure environmental, social, and governance (ESG) impacts on corporate sustainability performance, using the perspective of workers. Workers were chosen as key stakeholders for the present study, as they were pointed by previous research as central to corporate sustainability decisions. The present paper addresses a literature gap by introducing, implementing, and validating a research instrument, along with a comparative scale, to assess the effects of integrating ESG criteria on corporate sustainability performance. Workers of two major Brazilian electricity sector companies were respondents for this instrument. Multigroup IRT method was used to assess item discrimination and difficulty levels, and to construct a scale reflecting workers' perceptions of integrating ESG criteria. The questionnaire consisted of 15 items, demonstrating Content Validity Coefficients (CVC) above.97, confirming the instrument's content effectiveness. Cronbach's Alpha and McDonald's Omega were greater than.94 for both companies. Questionnaire items demonstrated satisfactory discrimination ability and varying difficulty levels, resulting in a five-level scale to gauge the impacts of ESG criteria. This research contributes through the introduction and validation of the research instrument, the latent trait assessment scale, and the evaluation of workers' perceptions regarding ESG criteria impacts on corporate sustainability performance. In conclusion, the proposed instrument showed robust psychometric properties, displaying favorable reliability and validity parameters. It effectively measures the impacts of ESG criteria, providing interpretable levels aligned with the unique characteristics of its constituent items. © 2024 ERP Environment and John Wiley & Sons Ltd.","anchoring method; environmental, social, and governance criteria; factor analysis; item response theory; multigroup analysis; workers' perception","Brazil; corporate social responsibility; factor analysis; perception; stakeholder; sustainability","A.D.S. Barbosa; Federal University of Paraíba, João Pessoa, Cidade Universitária, s/n - Conj. Pres. Castelo Branco III - PB, 58.051-900, Brazil; email: anrafel.barbosa@ifpb.edu.br","English","Bus. Strategy Environ.","Article","Final","","Scopus"
"Mastrandrea R.; ter Burg R.; Shan Y.; Hubacek K.; Ruzzenenti F.","Mastrandrea, Rossana (56150284600); ter Burg, Rob (58527992400); Shan, Yuli (56015318000); Hubacek, Klaus (55802235200); Ruzzenenti, Franco (24473499100)","56150284600; 58527992400; 56015318000; 55802235200; 24473499100","Assessments of the environmental performance of global companies need to account for company size","2024","Communications Earth and Environment","5","1","42","","","","10","10.1038/s43247-024-01200-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182713154&doi=10.1038%2fs43247-024-01200-5&partnerID=40&md5=7ff74bae4b5047b957fa0ca36996cd6c","IMT School for Advanced Studies, Lucca, Piazza S. Ponziano 6, Lucca, 55100, Italy; Integrated Research on Energy, Environment and Society (IREES), Faculty of Science and Engineering, University of Groningen, Groningen, 9747 AG, Netherlands; School of Geography, Earth and Environmental Sciences, University of Birmingham, Birmingham, B15 2TT, United Kingdom","Mastrandrea R., IMT School for Advanced Studies, Lucca, Piazza S. Ponziano 6, Lucca, 55100, Italy; ter Burg R., Integrated Research on Energy, Environment and Society (IREES), Faculty of Science and Engineering, University of Groningen, Groningen, 9747 AG, Netherlands; Shan Y., School of Geography, Earth and Environmental Sciences, University of Birmingham, Birmingham, B15 2TT, United Kingdom; Hubacek K., Integrated Research on Energy, Environment and Society (IREES), Faculty of Science and Engineering, University of Groningen, Groningen, 9747 AG, Netherlands; Ruzzenenti F., Integrated Research on Energy, Environment and Society (IREES), Faculty of Science and Engineering, University of Groningen, Groningen, 9747 AG, Netherlands","While the awareness of the corporate world toward sustainability is growing, how to assess corporate environmental performance objectively and efficiently remains an open question. Here we estimate the relationship between company size and four environmental indicators to understand the environmental performance of nearly 6500 companies, building on the concept of allometric scaling and using Thomson Reuters EIKON data for the year 2018. We highlight that carbon dioxide emissions, energy use, water and waste production scale with the size according to a power law. This can be used as a benchmark to assess unambiguously a company’s environmental performance. We find that the adopted Environmental, Social & Governance rating is uncorrelated with the environmental performance. Our results suggest that a fair and effective environmental policy should consider the nature of the scaling relationship. Scaling laws suggest the existence of a nexus between an underlying network and corporate metabolism, whose understanding would help in discerning the determinants of environmental impacts. © 2024, The Author(s).","","carbon emission; energy use; environmental economics; environmental indicator; firm size; sustainability","F. Ruzzenenti; Integrated Research on Energy, Environment and Society (IREES), Faculty of Science and Engineering, University of Groningen, Groningen, 9747 AG, Netherlands; email: f.ruzzenenti@rug.nl","English","Commun. Earth Environ.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Sun J.; Pellegrini M.M.; Dabić M.; Wang K.; Wang C.","Sun, Jiamu (57432835400); Pellegrini, Massimiliano Matteo (57040612400); Dabić, Marina (6507123949); Wang, Kai (57200853527); Wang, Cizhi (57205576695)","57432835400; 57040612400; 6507123949; 57200853527; 57205576695","Family ownership and control as drivers for environmental, social, and governance in family firms","2024","Review of Managerial Science","18","4","","1015","1046","31","26","10.1007/s11846-023-00631-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149386244&doi=10.1007%2fs11846-023-00631-2&partnerID=40&md5=dcdbcc82320ebe86d0a83f99ccae76fd","School of Economics and Management, Beijing Jiatong University, Beijing, China; Department of Management and Law, Tor Vergata University, Rome, Italy; Faculty of Economics and Business, University of Zagreb, Zagreb, Croatia; University of Dubrovnik, Dubrovnik, Croatia; School of Economics and Business, University of Ljubljana, Ljubljana, Slovenia; College of Business Administration, Capital University of Economics and Business, Beijing, China","Sun J., School of Economics and Management, Beijing Jiatong University, Beijing, China; Pellegrini M.M., Department of Management and Law, Tor Vergata University, Rome, Italy; Dabić M., Faculty of Economics and Business, University of Zagreb, Zagreb, Croatia, University of Dubrovnik, Dubrovnik, Croatia, School of Economics and Business, University of Ljubljana, Ljubljana, Slovenia; Wang K., College of Business Administration, Capital University of Economics and Business, Beijing, China; Wang C., College of Business Administration, Capital University of Economics and Business, Beijing, China","Sluggish market demand can deteriorate the financial situation of a company and affect a shareholder’s decision to adopt environmental, social, and governance criteria (ESG). According to the socioemotional wealth theory, family firms place significant emphasis on sustainable development and long-term orientation, but this emphasis can be either internally or externally driven according to the type of involvement chosen by the owning family. Therefore, this study uses listed family firms to explore the relationship between different types of family involvement (i.e., family ownership and control, the influence of market competition, and the institutionalisation level of the environment in which a firm decides to pursue ESG criteria). We performed a multivariate regression analysis on a sample of 1,151 Chinese companies to test these relationships and found that both family ownership and control are positively related to ESG scores. Market competition negatively moderates the influence of both family ownership and control on the adoption of ESG criteria. Moreover, the influence of family control is negatively moderated by the institutional environment. Thus, types of family involvement seem to be relevant for the firm’s engagement with ESG criteria. © The Author(s) 2023.","ESG criteria; Family control; Family involvement; Family ownership; Socioemotional wealth theory","","M. Dabić; Faculty of Economics and Business, University of Zagreb, Zagreb, Croatia; email: mdabic@efzg.hr","English","Rev. Manage. Sci.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus"
"Moalla M.; Dammak S.","Moalla, Mouna (58081476100); Dammak, Saida (25639747400)","58081476100; 25639747400","Do media coverage and audit quality of US companies affect their Environmental, Social and Governance transparency?","2023","Journal of Financial Reporting and Accounting","","","","","","","5","10.1108/JFRA-09-2022-0353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170557152&doi=10.1108%2fJFRA-09-2022-0353&partnerID=40&md5=23b63d370ac7a8b0d5cf31b2cf578223","FSEGS, University of Sfax, Sfax, Tunisia; IHEC, Carthage University, Tunis, Tunisia","Moalla M., FSEGS, University of Sfax, Sfax, Tunisia; Dammak S., IHEC, Carthage University, Tunis, Tunisia","Purpose: The purpose of this paper was to study the direct impact of audit quality on environmental, social and governance (ESG) transparency. It aimed also to investigate the moderating effect of media coverage on the relationship between audit quality and ESG transparency in the USA. Design/methodology/approach: The sample consisted of US companies listed in the Standard and Poor’s 500 Stock Index between 2010 and 2019. The Thomson Reuters database was used to collect ESG disclosure scores and governance information. The authors applied multiple panel data regressions. Findings: The results showed that audit quality has a direct positive effect on ESG transparency. The findings also showed that the high exposure to public media by firms, the more they commit to high audit quality leading to disclose more transparent ESG information. Research limitations/implications: The results illustrated the significance of an external audit on an organization’s ESG report. Second, improving data quality has significant consequences not only for rating agencies but also for investors, businesses and researchers. These steps are required to increase the information content of ESG ratings. Originality/value: The findings demonstrated that third-party external verification improves the dependability of nonfinancial reporting, hence bridging the confidence gap between corporations and the market regarding sustainability reporting. © 2023, Emerald Publishing Limited.","Audit quality; Disclosure; ESG transparency; Media coverage; S&P500 Stock index","","M. Moalla; FSEGS, University of Sfax, Sfax, Tunisia; email: moalla.mouna@hotmail.com","English","J. Financ.  Rep.  Account.","Article","Article in press","","Scopus"
"Bashir Y.; Zhao Y.; Qiu H.; Ahmed Z.; Yau J.T.-H.","Bashir, Yasmeen (58783044300); Zhao, Yiwei (58023218800); Qiu, Huan (57226149782); Ahmed, Zeeshan (57206675169); Yau, Josephine Tan-Hwang (57377069700)","58783044300; 58023218800; 57226149782; 57206675169; 57377069700","Environmental, Social, and Governance Performance and Value Creation in Product Market: Evidence from Emerging Economies","2023","Journal of Risk and Financial Management","16","12","517","","","","0","10.3390/jrfm16120517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180712161&doi=10.3390%2fjrfm16120517&partnerID=40&md5=854c85f7b07aba21992cd1395e121bea","School of Business & Management, University of Malaysia Sarawak, Kota Samarahan, 94300, Malaysia; College of Business & Economics, Longwood University, Farmville, 23909, VA, United States; Else School of Management, Millsaps College, Jackson, 39210, MS, United States; Department of Accounting and Finance, Capital University of Science and Technology, Islamabad, 44000, Pakistan","Bashir Y., School of Business & Management, University of Malaysia Sarawak, Kota Samarahan, 94300, Malaysia; Zhao Y., College of Business & Economics, Longwood University, Farmville, 23909, VA, United States; Qiu H., Else School of Management, Millsaps College, Jackson, 39210, MS, United States; Ahmed Z., Department of Accounting and Finance, Capital University of Science and Technology, Islamabad, 44000, Pakistan; Yau J.T.-H., School of Business & Management, University of Malaysia Sarawak, Kota Samarahan, 94300, Malaysia","Using a unique sample of 13,412 firm-year observations from 19 countries of the emerging economies for the period of 2011 to 2019, we investigate the association between the firms’ environmental, social, and governance (ESG) performance and their value creation in the product market. Specifically, we first used the pooled OLS regression model for panel data as our baseline model and found that ESG performance (as well as its pillars) has a strong positive effect on the future value creation of the firms in the product market. We also conducted some additional analyses using various regression models, as well as adopting multiple tests for endogeneity, and the additional analyses revealed that the results are robust under different scenarios. Overall, the findings of this study highlight the importance of firm-level ESG performance for the value creation of firms in the product market in emerging economies and have theoretical and practical implications for academic researchers, market participants, and government entities in studying, evaluating, and governing firms’ ESG performance and reporting. © 2023 by the authors.","emerging economies; ESG; product market; value creation","","H. Qiu; Else School of Management, Millsaps College, Jackson, 39210, United States; email: qiuh@millsaps.edu","English","J. Risk. Financ. Manag.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Yu J.; Kim S.; Chiriko A.Y.; Moon H.G.; Choi H.; Han H.","Yu, Jongsik (57200533185); Kim, Seongseop (57209619163); Chiriko, Amare Yaekob (57214121412); Moon, Hyoungeun Gemmy (59438820400); Choi, Hyunjun (57215583890); Han, Heesup (21233360400)","57200533185; 57209619163; 57214121412; 59438820400; 57215583890; 21233360400","Environmental, social, and governance (ESG) in the hotel industry: a strategy for brand management, brand tribalism, and brand choice","2024","Journal of Travel and Tourism Marketing","41","9","","1226","1243","17","3","10.1080/10548408.2024.2406346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205807787&doi=10.1080%2f10548408.2024.2406346&partnerID=40&md5=d44b8d130a7e73bbfcd9ed2cf8afc5d3","College of Hospitality and Tourism Management, Sejong University, Seoul, South Korea; Department of Hotel and Foodservice Management, Cheongju University, Cheongju-si, South Korea; School of Hotel & Tourism Management, The Hong Kong Polytechnic University, Hong Kong; School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hong Kong; Major in Tourism Management, College of Business Administration, Keimyung University, Daegu, South Korea","Yu J., College of Hospitality and Tourism Management, Sejong University, Seoul, South Korea, Department of Hotel and Foodservice Management, Cheongju University, Cheongju-si, South Korea; Kim S., School of Hotel & Tourism Management, The Hong Kong Polytechnic University, Hong Kong; Chiriko A.Y., School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hong Kong; Moon H.G., Major in Tourism Management, College of Business Administration, Keimyung University, Daegu, South Korea; Choi H., Department of Hotel and Foodservice Management, Cheongju University, Cheongju-si, South Korea; Han H., College of Hospitality and Tourism Management, Sejong University, Seoul, South Korea","This study developed environmental, social, and governance (ESG) attributes in the hotel industry and tested their effect on hotel brand and consumer behavior using mixed methods. The qualitative approach was used to develop 11 hotel ESG attributes, while the quantitative approach was used to test research hypotheses. Furthermore, a fuzzy-set qualitative comparative analysis was used to test necessary and sufficient conditions. The results showed that most of the hypotheses were accepted, and that hotel ESG attributes had a positive effect on hotel brand and consumer behavior. Based on the results, this study provides meaningful and important insights into hotel ESG. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","brand choice; brand involvement; brand tribalism; ESG attributes; love marks","","H. Han; College of Hospitality and Tourism Management, Sejong University, Seoul, 209 Neungdong-Ro, Gwangjin-Gu, 05006, South Korea; email: heesup.han@gmail.com","English","J. Travel Tour. Mark.","Article","Final","","Scopus"
"Ellili N.O.D.","Ellili, Nejla Ould Daoud (39261406000)","39261406000","Bibliometric analysis and systematic review of environmental, social, and governance disclosure papers: Current topics and recommendations for future research","2022","Environmental Research Communications","4","9","092001","","","","33","10.1088/2515-7620/ac8b67","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139034347&doi=10.1088%2f2515-7620%2fac8b67&partnerID=40&md5=128583ba3549327a7cb4ffa9255faf21","College of Business Administration, Abu Dhabi University, United Arab Emirates","Ellili N.O.D., College of Business Administration, Abu Dhabi University, United Arab Emirates","This study analyzes the literature on environmental, social, and governance (ESG) disclosure by applying a bibliometric analysis of documents published in the Scopus database. The bibliometric analysis allows researchers to highlight the theoretical foundations of a specific research field, identify the main findings of previous studies, and determine future research ideas. This analysis was based on bibliometric authors' citation analysis, bibliometric papers' co-citation analysis, bibliometric references' co-citation analysis, bibliometric journals' co-citation analysis, co-occurrence keywords cartography analysis, trend and evolution analyses of ESG disclosure publications over the years, and qualitative content analysis. This study reviews 161 documents on ESG disclosure published in the Scopus database. Bibliometric analysis was conducted using VOSviewer, evolution analysis was performed using CiteSpace, and content analysis was performed using Wordstat. The study identified four major clusters: corporate social responsibility, corporate strategy, financial performance, and environmental economics. It also highlights the increasing number of citations and documents related to ESG disclosures. In addition, the journal 'Business Strategy and the Environment' significantly contributes to the ESG disclosure research field in terms of number of papers and citations. Additionally, this study highlights various future research opportunities in this field. The findings of this study have practical implications for ESG disclosure, such as the impact of integrating ESG into a company's business strategy on corporate and financial policies. This study is the only one to review key topics on ESG disclosure that can be largely used for ESG practices. This study provides an overview of how the literature on ESG disclosure has developed, as well as a summary of the most influential authors along with countries, organizations, and journal sources. This offers the opportunity for future research to focus on this topic. © 2022 The Author(s). Published by IOP Publishing Ltd.","bibliometric analysis; content analysis; ESG disclosure; VOSviewer","corporate social responsibility; environmental management; future prospect; governance approach; research","N.O.D. Ellili; College of Business Administration, Abu Dhabi University, United Arab Emirates; email: nejla.ellili@adu.ac.ae","English","Environ. Res. Commun.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Zheng M.; Li T.; Ye J.","Zheng, Mengze (57222022633); Li, Te (58750905900); Ye, Jing (59205794400)","57222022633; 58750905900; 59205794400","The Confluence of AI and Big Data Analytics in Industry 4.0: Fostering Sustainable Strategic Development","2024","Journal of the Knowledge Economy","","","","","","","2","10.1007/s13132-024-02120-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197606219&doi=10.1007%2fs13132-024-02120-7&partnerID=40&md5=f1d509b7a9f45be9d407ffdd17d86ac6","School of Digital Technology and Engineering, Ningbo University of Finance & amp; Economics, Ningbo, 315175, China; School of Public Administration, Dongbei University of Finance & amp; Economics, Dalian, 116025, China; School of Business Administration, Dongbei University of Finance & amp; Economics, Dalian, 116025, China","Zheng M., School of Digital Technology and Engineering, Ningbo University of Finance & amp; Economics, Ningbo, 315175, China, School of Public Administration, Dongbei University of Finance & amp; Economics, Dalian, 116025, China; Li T., School of Business Administration, Dongbei University of Finance & amp; Economics, Dalian, 116025, China; Ye J., School of Digital Technology and Engineering, Ningbo University of Finance & amp; Economics, Ningbo, 315175, China","In the era of Industry 4.0, the convergence of digitalization, artificial intelligence (AI), and big data analytics (BDA) has revolutionized the industrial landscape. This research paper explores the intricate interplay between AI-assisted BDA and strategic sustainable development (SSD) within the context of Industry 4.0, focusing on Italian manufacturing. The Fourth Industrial Revolution, characterized by the fusion of physical and digital worlds, has ushered in unprecedented advancements in technology and data analytics. AI-assisted BDA emerges as a powerful tool for harnessing vast datasets to drive innovation, efficiency, and sustainability strategies. It facilitates predictive maintenance, waste reduction, and optimal resource utilization. Furthermore, it aligns with circular economy principles by optimizing resource flows and promoting responsible sourcing. However, this digital transformation is not without challenges. Data privacy, security concerns, and the digital divide need addressing. Multidisciplinary approaches involving policymakers, academics, and industry leaders are essential to establish ethical norms and ensure inclusivity. The study’s theoretical implications call for a re-evaluation of the existing frameworks surrounding BDA’s role in sustainable development. It highlights the symbiotic relationship between digitization, BDA, and SSD, emphasizing the mediating role of environmental and social governance (ESG). This research underscores the transformative potential of AI-assisted BDA in Industry 4.0, bridging the gap between sustainability and innovation. It paves the way for a future where technology and environmental stewardship coalesce to foster a greener, more sustainable industrial landscape, redefining industry and sustainability in the digital age. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","AI; Big data analytics; Digital transformation; Environmental conservation; Environmental social governance; Industry 4.0; Industry 4.0 digitization; Strategic sustainable development; Sustainability initiatives; Sustainable development","","M. Zheng; School of Digital Technology and Engineering, Ningbo University of Finance & amp; Economics, Ningbo, 315175, China; email: zmzyanzi@163.com","English","J. Knowl. Econ.","Article","Article in press","","Scopus"
"Lu W.-M.; Kweh Q.L.; Dashnyam O.","Lu, Wen-Min (25625212800); Kweh, Qian Long (55661469500); Dashnyam, Oyunerdene (59261921400)","25625212800; 55661469500; 59261921400","Environmental, social, and governance, firm performance and the moderating role of power distance cultural value during the COVID-19 pandemic","2024","Business Strategy and the Environment","33","8","","8300","8318","18","2","10.1002/bse.3921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201319709&doi=10.1002%2fbse.3921&partnerID=40&md5=87e92d0fef80318e19bdad975e055f6a","Department of International Business Administration, Chinese Culture University, Taipei, Taiwan; School of Management, Canadian University Dubai, Dubai, United Arab Emirates","Lu W.-M., Department of International Business Administration, Chinese Culture University, Taipei, Taiwan; Kweh Q.L., School of Management, Canadian University Dubai, Dubai, United Arab Emirates; Dashnyam O., Department of International Business Administration, Chinese Culture University, Taipei, Taiwan","We examine the association between environmental, social, and governance (ESG) and firm performance, taking into account the influence of power distance (PD) cultural orientation among 38 leading technology-driven global companies between 2017 and 2021. First, we establish an internal network structure through a chance-constrained network data envelopment analysis (NDEA) model to analyze the R&D investment and eco-business efficiencies of our sample companies. Among the average DEA score results, eco-business efficiencies performed better with after COVID-19 than R&D investment performance. Second, we conduct a truncated regression analysis and find that PD positively (negatively) moderates the impact of social (environmental and governance) factors on R&D investment efficiency (eco-business efficiency). Overall, we highlight strategic ESG toward their sustainability business success and underline the specific NDEA application in assessing the efficiencies of innovative industries. © 2024 ERP Environment and John Wiley & Sons Ltd.","COVID-19 pandemic; eco-business efficiency; environmental, social, and governance; network DEA; power distance; R&D investment efficiency","business development; COVID-19; data envelopment analysis; governance approach; investment; research and development","O. Dashnyam; Department of International Business Administration, Chinese Culture University, No. 55, Hwa-Kang Road, Shilin District, Taipei 114, Taiwan; email: oneoni357@gmail.com","English","Bus. Strategy Environ.","Article","Final","","Scopus"
"Estevez-Mendoza C.; Infante J.","Estevez-Mendoza, Carlos (57207695861); Infante, Juan (57224447275)","57207695861; 57224447275","Evolution and relevance of research on Environmental, Social, and Governance factors","2025","Corporate Social Responsibility and Environmental Management","32","2","","1545","1566","21","0","10.1002/csr.3030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000384087&doi=10.1002%2fcsr.3030&partnerID=40&md5=b138110b3fb945651d6a41269a5e2a8d","Complutense University of Madrid, Madrid, Spain; CUNEF University, Madrid, Spain; Villanueva University, Madrid, Spain","Estevez-Mendoza C., Complutense University of Madrid, Madrid, Spain, CUNEF University, Madrid, Spain; Infante J., Villanueva University, Madrid, Spain","In the wake of a compelling societal shift and the subsequent widespread response across multiple industries, Environmental, Social, and Governance (ESG) factors have emerged as a pivotal subject in scholarly literature. To gauge the significance of these contributions and facilitate objective exploration in future research, we employ bibliometric techniques. Thus, we identify the relevant authors and journals, and depict the evolution in the themes and pillars of the intellectual framework underpinning the topic. Our analysis covers 594 articles from 2007 to 2022, divided into two distinct periods. In the first period, the pillars are centered on contextualizing theories, the impact in terms of financial-related performance, and the ethical implications within the domain of corporate social responsibility. In the subsequent period, there is a notable progression towards reinforcing theoretical foundations. The pillars shift towards more practical implications, focusing on challenges associated with investing based on ESG criteria, guiding stakeholders in adapting to this paradigm, and addressing risks tied to its implementation. Financial performance, disclosure in reporting, and socially responsible investments remain crucial matters, and the analysis of the environmental issues outnumber social, and governance ones in both periods. We discuss the potential implications and further lines of research. © 2024 The Author(s). Corporate Social Responsibility and Environmental Management published by ERP Environment and John Wiley & Sons Ltd.","bibliometric analysis; co-citation; CSR; Environmental, Social, and Governance (ESG); intellectual framework","","C. Estevez-Mendoza; Department of Management, Pozuelo de Alarcón, Madrid, Campus de Somosaguas, 28223, Spain; email: cestev01@ucm.es","English","Corp. Soc. Responsib. Environ. Manage.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus"
